CYGHWR_HAL_I386_FPU, Bool
CYGNUM_HTTPD_SERVER_PORT, String
CYGPKG_ISO_SCHED, Bool
CYGNUM_UITRON_MEMPOOLFIXED_INITIALLY, Number
CYGIMP_MEMALLOC_ALLOCATOR_DLMALLOC_SAFE_MULTIPLE, Bool
CYGNUM_VNC_SERVER_PIXEL_BGR233, Bool
CYGNUM_UITRON_SEMAS_INITIALLY, Number
CYGPKG_INFRA_LDFLAGS_REMOVE, String
CYGOPT_PPP_DNS_CONFIGURE, Bool
CYGPKG_LIBC_STARTUP_CFLAGS_ADD, String
CYGNUM_POSIX_MAIN_DEFAULT_PRIORITY, Number
CYGPKG_IO_DISK_CFLAGS_REMOVE, String
CYGDAT_IO_SERIAL_TERMIOS_TERMIOS0_DEV, String
CYGPKG_IO_SERIAL_I386_PC_CFLAGS_ADD, String
FOPEN_MAX, Number
CYGPKG_LIBM_TESTS, String
CYGPKG_HAL_CACHE_CONTROL, Bool
CYGNUM_HAL_VIRTUAL_VECTOR_CONSOLE_CHANNEL_DEFAULT, Number
CYGPKG_PPP_TESTS_ALL, Bool
CYGPKG_NET_FREEBSD_LOGGING, String
CYGINT_KERNEL_COUNTERS, Number
CYGPKG_UITRON_SEMAS_ARE_INITIALIZED, Bool
CYGPKG_HTTPD_TESTS, String
CYGBLD_ISO_PMUTEXTYPES_HEADER, String
CYGBLD_ISO_STRING_BSD_FUNCS_HEADER, String
CYGINT_LIBC_STARTUP_EXTERNAL_INVOKE_MAIN_POSSIBLE, Bool
CYGIMP_HAL_COMMON_INTERRUPTS_IGNORE_SPURIOUS, Bool
CYGPKG_NET_DHCP_THREAD_STACK_SIZE, String
CYGNUM_NET_FAST_THREAD_STACKSIZE, String
CYGDBG_INFRA_DEBUG_TRACE_BUFFER_HALT, Bool
CYGBLD_ISO_BSDTYPES_HEADER, String
CYGPKG_LIBM_CFLAGS_ADD, String
CYGNUM_IO_SERIAL_I386_PC_SERIAL1_BUFSIZE, Number
